layout,layout_id,set_id,material,raw_x,raw_y,x,y,hold_id,hold_family,variant,orientation,orientation_degrees,orientation_sin,orientation_cos
mirror,10,12,wood,-48,4,0.125,0.0,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,-40,4,0.1875,0.0,20D,wood:20D,none,N,0.0,0.0,1.0
mirror,10,12,wood,-24,4,0.3125,0.0,TDP,wood:TDP,none,N,0.0,0.0,1.0
mirror,10,12,wood,-8,4,0.4375,0.0,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,8,4,0.5625,0.0,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,24,4,0.6875,0.0,TDP,wood:TDP,none,N,0.0,0.0,1.0
mirror,10,12,wood,40,4,0.8125,0.0,20D,wood:20D,none,N,0.0,0.0,1.0
mirror,10,12,wood,48,4,0.875,0.0,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,-52,8,0.09375,0.029411764705882353,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,-4,8,0.46875,0.029411764705882353,TDP,wood:TDP,none,NW,315.0,-0.7071067812,0.7071067812
mirror,10,12,wood,4,8,0.53125,0.029411764705882353,TDP,wood:TDP,none,NE,45.0,0.7071067812,0.7071067812
mirror,10,12,wood,52,8,0.90625,0.029411764705882353,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,-56,12,0.0625,0.058823529411764705,TDP,wood:TDP,none,NE,45.0,0.7071067812,0.7071067812
mirror,10,12,wood,-32,12,0.25,0.058823529411764705,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,-24,12,0.3125,0.058823529411764705,FT,wood:FT,none,W,270.0,-1.0,-0.0
mirror,10,12,wood,-8,12,0.4375,0.058823529411764705,FT,wood:FT,none,NE,45.0,0.7071067812,0.7071067812
mirror,10,12,wood,8,12,0.5625,0.058823529411764705,FT,wood:FT,none,NW,315.0,-0.7071067812,0.7071067812
mirror,10,12,wood,24,12,0.6875,0.058823529411764705,FT,wood:FT,none,E,90.0,1.0,0.0
mirror,10,12,wood,32,12,0.75,0.058823529411764705,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,56,12,0.9375,0.058823529411764705,TDP,wood:TDP,none,NW,315.0,-0.7071067812,0.7071067812
mirror,10,12,wood,-44,16,0.15625,0.08823529411764706,FT,wood:FT,none,NE,45.0,0.7071067812,0.7071067812
mirror,10,12,wood,44,16,0.84375,0.08823529411764706,FT,wood:FT,none,NW,315.0,-0.7071067812,0.7071067812
mirror,10,12,wood,-56,20,0.0625,0.11764705882352941,FT,wood:FT,none,N,0.0,0.0,1.0
mirror,10,12,wood,-32,20,0.25,0.11764705882352941,CBL,wood:CBL,none,N,0.0,0.0,1.0
mirror,10,12,wood,-16,20,0.375,0.11764705882352941,SHL,wood:SHL,none,N,0.0,0.0,1.0
mirror,10,12,wood,0,20,0.5,0.11764705882352941,FT,wood:FT,none,N,0.0,0.0,1.0
mirror,10,12,wood,16,20,0.625,0.11764705882352941,SHL,wood:SHL,none,N,0.0,0.0,1.0
mirror,10,12,wood,32,20,0.75,0.11764705882352941,CBL,wood:CBL,none,N,0.0,0.0,1.0
mirror,10,12,wood,56,20,0.9375,0.11764705882352941,FT,wood:FT,none,N,0.0,0.0,1.0
mirror,10,12,wood,-64,28,0.0,0.17647058823529413,FT,wood:FT,none,N,0.0,0.0,1.0
mirror,10,12,wood,-48,28,0.125,0.17647058823529413,FT,wood:FT,none,NW,315.0,-0.7071067812,0.7071067812
mirror,10,12,wood,-32,28,0.25,0.17647058823529413,FT,wood:FT,none,N,0.0,0.0,1.0
mirror,10,12,wood,-16,28,0.375,0.17647058823529413,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,16,28,0.625,0.17647058823529413,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,32,28,0.75,0.17647058823529413,FT,wood:FT,none,N,0.0,0.0,1.0
mirror,10,12,wood,48,28,0.875,0.17647058823529413,FT,wood:FT,none,NE,45.0,0.7071067812,0.7071067812
mirror,10,12,wood,64,28,1.0,0.17647058823529413,FT,wood:FT,none,N,0.0,0.0,1.0
mirror,10,12,wood,-52,32,0.09375,0.20588235294117646,DEP,wood:DEP,none,N,0.0,0.0,1.0
mirror,10,12,wood,-36,32,0.21875,0.20588235294117646,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,-12,32,0.40625,0.20588235294117646,FT,wood:FT,none,NE,45.0,0.7071067812,0.7071067812
mirror,10,12,wood,12,32,0.59375,0.20588235294117646,FT,wood:FT,none,NW,315.0,-0.7071067812,0.7071067812
mirror,10,12,wood,36,32,0.78125,0.20588235294117646,FT,wood:FT,none,S,180.0,0.0,-1.0
mirror,10,12,wood,52,32,0.90625,0.20588235294117646,DEP,wood:DEP,none,N,0.0,0.0,1.0
mirror,10,12,wood,-64,36,0.0,0.23529411764705882,UCM,wood:UCM,none,S,180.0,0.0,-1.0
mirror,10,12,wood,-56,36,0.0625,0.23529411764705882,CBI,wood:CBI,none,NE,45.0,0.7071067812,0.7071067812
mirror,10,12,wood,-48,36,0.125,0.23529411764705882,FT,wood:FT,none,NE,45.0,0.7071067812,0.7071067812
mirror,10,12,wood,-24,36,0.3125,0.23529411764705882,CGP,wood:CGP,none,NW,315.0,-0.7071067812,0.7071067812
mirror,10,12,wood,-8,36,0.4375,0.23529411764705882,DLI,wood:DLI,none,N,0.0,0.0,1.0
mirror,10,12,wood,8,36,0.5625,0.23529411764705882,DLI,wood:DLI,none,N,0.0,0.0,1.0
mirror,10,12,wood,24,36,0.6875,0.23529411764705882,CGP,wood:CGP,none,NE,45.0,0.7071067812,0.7071067812
mirror,10,12,wood,48,36,0.875,0.23529411764705882,FT,wood:FT,none,NW,315.0,-0.7071067812,0.7071067812
mirror,10,12,wood,56,36,0.9375,0.23529411764705882,CBI,wood:CBI,none,NW,315.0,-0.7071067812,0.7071067812
mirror,10,12,wood,64,36,1.0,0.23529411764705882,UCM,wood:UCM,none,S,180.0,0.0,-1.0
mirror,10,12,wood,-60,40,0.03125,0.2647058823529412,WGL,wood:WG,l,W,270.0,-1.0,-0.0
mirror,10,12,wood,-44,40,0.15625,0.2647058823529412,DLI,wood:DLI,none,N/NW,337.5,-0.3826834324,0.9238795325
mirror,10,12,wood,-28,40,0.28125,0.2647058823529412,TDP,wood:TDP,none,N,0.0,0.0,1.0
mirror,10,12,wood,-12,40,0.40625,0.2647058823529412,UCM,wood:UCM,none,N,0.0,0.0,1.0
mirror,10,12,wood,12,40,0.59375,0.2647058823529412,UCM,wood:UCM,none,N,0.0,0.0,1.0
mirror,10,12,wood,28,40,0.71875,0.2647058823529412,TDP,wood:TDP,none,N,0.0,0.0,1.0
mirror,10,12,wood,44,40,0.84375,0.2647058823529412,DLI,wood:DLI,none,N/NE,22.5,0.3826834324,0.9238795325
mirror,10,12,wood,60,40,0.96875,0.2647058823529412,WGR,wood:WG,r,E,90.0,1.0,0.0
